name,channel
ABC,202
SBS,228
SBS 2,142
SBS FOOD,143
CHANNEL 7,207
CHANNEL 9,209
CHANNEL 10,210
9 GO,139
9 GEM,192
9 LIFE,194
UKTV,103
ARENA ,105
LIFESTYLE,106
FOX 8,108
UNIVERSAL ,112
FOX CLASSICS,113
SOHO,114
SHOWCASE,115
BOXSETS,116
BBC FIRST,117
13TH STREET ,118
FX,119
THE COMEDY CHANNEL,121
A&E,122
SYFY,123
MTV,124
E,125
STYLE,126
LIFESTYLE FOOD,127
LIFESTYLE HOME,128
LIFESTYLE YOU,129
TLC,130
STUDIO,132
BIO,133
SKY NEWS,601
SKY NEWS BUSINESS,602
WEATHER,603
FOX NEWS,604
CNN,605
DISCOVERY,608
NATIONAL GEOGRAPHIC,610
HISTORY ,611
BBC KNOWLEDGE,612
CRIME,613
ANIMAL PLANET,615
NAT  GEO WILD,616
NAT GEO PEOPLE,628
DISCOVERY TURBO MAX,634
DISCOVERY SCIENCE,638
ABC NEWS,642
CNBC,644
A-PAC,648
BBC,649
BLOOMBERG,650
ALJAZEERA,651
ABC 2,134
NICKELODEON,701
NICK JR,703
CBEEBIES,705
DISNEY,707
DISNEY XD,708
DISNEY JUNIOR,709
CARTOON NETWORK,713
BOOMERANG,715
DISCOVERY KIDS,718
